CNTYVTD,Lat_C,Long_C,ZIP_Code,Region,Metro,Border,Total_Votes_2020_Pres,Total_Votes_2022_Gov,Trump_2020_Votes,Biden_2020_Votes,Abbott_2022_Votes,O_Rourke_2022_Votes,VAP_2022,White_VAP_2022,Latino_VAP_2022,Black_VAP_2022,Asian_VAP_2022,Biden_2020_Pct,Trump_2020_Pct,Abbott_2022_Pct,O_Rourke_2022_Pct,White_VAP_2022_Pct,Latino_VAP_2022_Pct,Black_VAP_2022_Pct,Asian_VAP_2022_Pct,Dem_Margin_2020_Pres_Pct,Dem_Margin_2022_Gov_Pct,Dem_Margin_Gain_Pct,Dem_Raw_Vote_Gain,GOP_Raw_Vote_Gain,Dem_Raw_Vote_Margin_Gain,Change_in_Turnout
10001,31.73840495994304,-95.612151334888,75801.0,Central East,,0,1164,824,791,357,610,204,2340,1347,284,632,40,30.670103092783506,67.9553264604811,74.02912621359224,24.75728155339806,57.56410256410256,12.136752136752136,27.00854700854701,1.7094017094017095,-37.2852233676976,-49.271844660194176,-11.98662129249658,-153,-181,28,-29.209621993127143
10002,31.594654467158435,-95.62253176312429,75839.0,Central East,,0,1769,1314,1548,205,1165,135,2880,2453,173,172,11,11.588468061051442,87.50706613906162,88.66057838660578,10.273972602739725,85.17361111111111,6.006944444444445,5.972222222222222,0.3819444444444444,-75.91859807801018,-78.38660578386606,-2.4680077058558823,-70,-383,313,-25.720746184284906
10003,31.710813434651264,-95.57368676720213,75801.0,Central East,,0,873,655,746,118,573,73,1473,1151,159,97,15,13.516609392898053,85.4524627720504,87.48091603053435,11.145038167938932,78.1398506449423,10.79429735234216,6.58520027155465,1.0183299389002036,-71.93585337915235,-76.33587786259541,-4.400024483443062,-45,-173,128,-24.971363115693013
10004,31.66241150711989,-95.45924357902834,75839.0,Central East,,0,1156,881,1031,117,808,68,1821,1605,82,63,4,10.121107266435986,89.18685121107266,91.71396140749148,7.71850170261067,88.13838550247117,4.503020318506315,3.459637561779242,0.21965952773201539,-79.06574394463668,-83.99545970488082,-4.929715760244136,-49,-223,174,-23.788927335640143
10005,31.652548172497752,-95.34501098834644,75844.0,Central East,,0,215,172,203,12,163,9,325,274,24,11,1,5.5813953488372094,94.41860465116278,94.76744186046511,5.232558139534884,84.3076923076923,7.384615384615385,3.3846153846153846,0.3076923076923077,-88.83720930232558,-89.53488372093022,-0.6976744186046488,-3,-40,37,-19.999999999999996
10006,31.744079589696632,-95.63567164410114,75801.0,Central East,,0,783,573,388,389,288,280,1588,656,333,580,7,49.68071519795657,49.55300127713921,50.26178010471204,48.86561954624782,41.30982367758186,20.96977329974811,36.523929471032744,0.4408060453400504,0.12771392081736366,-1.3961605584642172,-1.5238744792815808,-109,-100,-9,-26.819923371647512
10007,31.761124441108088,-95.6540980333883,75803.0,Central East,,0,632,387,167,462,91,292,2048,379,845,773,30,73.10126582278481,26.424050632911396,23.51421188630491,75.45219638242894,18.505859375,41.259765625,37.744140625,1.46484375,46.677215189873415,51.93798449612403,5.260769306250616,-170,-76,-94,-38.76582278481012
10008,31.767331262216526,-95.61906428438978,75801.0,Central East,,0,171,137,75,92,59,74,735,256,233,243,7,53.80116959064327,43.859649122807014,43.06569343065693,54.01459854014598,34.82993197278911,31.700680272108844,33.06122448979592,0.9523809523809524,9.941520467836256,10.948905109489054,1.0073846416527985,-18,-16,-2,-19.883040935672515
10009,31.67233113655856,-95.71592770650886,75801.0,Central East,,0,902,698,737,160,582,109,1612,1194,143,192,26,17.738359201773836,81.70731707317073,83.3810888252149,15.616045845272206,74.06947890818859,8.870967741935484,11.910669975186105,1.6129032258064515,-63.968957871396896,-67.76504297994269,-3.796085108545796,-51,-155,104,-22.616407982261645
10010,31.740440644282,-95.80639735727831,75803.0,Central East,,0,369,278,327,42,252,26,6772,2529,1842,2347,36,11.38211382113821,88.6178861788618,90.64748201438849,9.352517985611511,37.344949793266395,27.200236266981687,34.6574128765505,0.531600708800945,-77.23577235772359,-81.29496402877697,-4.059191671053384,-16,-75,59,-24.661246612466126
