CountyFIPS,County,CNTY,VTD,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap
29,BEXAR,29,2109,292109,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,BEXAR,29,4043,294043,854,5072,1287,3785,228,1413,2195,3455,3598,1018,2580,156,967,1441,2343
39,BRAZORIA,39,0073,390073,1186,1770,510,1260,139,687,431,1105,1211,384,827,97,458,264,714
65,CARSON,65,0101,650101,1518,679,585,94,3,4,55,58,515,461,54,3,2,31,32
85,COLLIN,85,0221,850221,1850,7160,4974,2186,506,752,811,1523,5024,3617,1407,323,483,512,978
113,DALLAS,113,4606,1134606,2846,7614,1464,6150,195,405,5483,5847,5461,1283,4178,147,274,3669,3936
485,WICHITA,485,0304,4850304,9344,1730,956,774,26,123,574,686,1322,797,525,13,77,387,458
215,HIDALGO,215,0211,2150211,5763,647,89,558,12,8,540,547,460,69,391,8,6,377,383
245,JEFFERSON,245,0067,2450067,6095,4037,371,3666,63,2818,772,3565,2904,328,2576,49,2044,467,2496
289,LEON,289,0003,2890003,6427,766,601,165,7,58,83,141,639,510,129,6,49,57,106
321,MATAGORDA,321,0008,3210008,6759,1230,680,550,3,83,427,506,940,545,395,1,61,302,362
451,TOM GREEN,451,0201,4510201,8680,5530,3031,2499,226,480,1751,2149,4486,2583,1903,191,394,1271,1615
455,TRINITY,455,0007,4550007,9012,250,217,33,1,7,13,20,192,169,23,0,4,10,14
113,DALLAS,113,3077,1133077,2514,5110,619,4491,266,2074,2172,4184,3773,557,3216,194,1551,1478,2992
113,DALLAS,113,1724,1131724,2182,401,76,325,10,197,124,314,254,59,195,7,116,74,187
201,HARRIS,201,0218,2010218,4435,6362,875,5487,156,254,5066,5267,4848,756,4092,129,191,3754,3922
201,HARRIS,201,0881,2010881,5099,7316,979,6337,540,2044,3847,5752,5022,772,4250,409,1345,2529,3807
201,HARRIS,201,0550,2010550,4767,7443,1322,6121,203,3414,2545,5827,5538,1193,4345,166,2407,1764,4102
209,HAYS,209,0112,2090112,5431,3717,1138,2579,89,362,2124,2420,2905,971,1934,68,226,1620,1811
41,BRAZOS,41,0018,410018,1209,1118,141,977,5,318,645,953,861,126,735,5,263,462,717
67,CASS,67,0021,670021,1541,459,392,67,5,17,24,41,340,298,42,4,10,18,28
85,COLLIN,85,0244,850244,1873,4566,2404,2162,1544,193,321,503,3053,1655,1398,996,130,198,323
113,DALLAS,113,4629,1134629,2869,3946,597,3349,452,890,1996,2845,2853,523,2330,343,620,1345,1947
113,DALLAS,113,30A4,11330A4,2537,26,2,24,4,2,18,19,13,0,13,0,2,9,10
113,DALLAS,113,1747,1131747,2205,5587,1986,3601,1360,1208,960,2125,4408,1699,2709,1045,907,678,1567
201,HARRIS,201,0195,2010195,4412,2680,390,2290,46,1261,1013,2237,2145,349,1796,42,1050,716,1745
203,HARRISON,203,0025,2030025,5408,4430,3426,1004,80,334,453,774,3231,2602,629,48,214,257,467
215,HIDALGO,215,0188,2150188,5740,4998,1040,3958,61,41,3847,3858,3764,1018,2746,39,16,2663,2672
245,JEFFERSON,245,0044,2450044,6072,1598,284,1314,43,423,850,1260,1112,241,871,34,272,560,828
489,WILLACY,489,0002,4890002,9367,145,25,120,3,2,114,116,118,25,93,0,2,90,92
133,EASTLAND,133,0001,1330001,3201,4305,3171,1134,52,121,866,971,3352,2572,780,40,77,578,651
141,EL PASO,141,0218,1410218,3533,291,8,283,0,0,280,280,224,8,216,0,0,214,214
157,FORT BEND,157,3168,1573168,3748,942,109,833,615,139,67,204,605,74,531,397,76,46,121
187,GUADALUPE,187,0125,1870125,4080,275,162,113,4,11,87,98,233,158,75,3,11,50,61
201,HARRIS,201,0527,2010527,4744,1627,187,1440,20,62,1367,1418,1175,161,1014,17,38,963,998
201,HARRIS,201,0858,2010858,5076,622,12,610,2,410,206,605,432,12,420,2,316,106,415
19,BANDERA,19,0409,190409,144,1272,808,464,16,14,344,358,1049,683,366,10,13,264,277
29,BEXAR,29,2064,292064,476,3969,706,3263,49,101,3115,3194,3073,626,2447,29,70,2327,2386
29,BEXAR,29,3202,293202,808,1735,760,975,142,116,715,812,1247,578,669,94,82,482,555
39,BRAZORIA,39,0027,390027,1140,2656,1503,1153,428,386,303,685,2284,1376,908,318,314,233,545
249,JIM WELLS,249,0004,2490004,6141,1849,213,1636,8,6,1619,1622,1345,182,1163,3,3,1152,1152
293,LIMESTONE,293,0303,2930303,6473,312,224,88,9,18,52,69,256,199,57,7,13,27,40
327,MENARD,327,0004A,3270004A,6805,310,209,101,0,2,96,97,237,157,80,0,2,75,76
355,NUECES,355,0022,3550022,7137,649,153,496,15,13,481,487,508,121,387,11,6,377,378
381,RANDALL,381,0227,3810227,7469,4250,3212,1038,264,113,560,662,3375,2624,751,181,84,403,483
427,STARR,427,0004,4270004,7801,882,46,836,3,8,827,831,716,40,676,1,7,669,673
439,TARRANT,439,4141,4394141,8465,7771,2978,4793,928,1483,2333,3740,6110,2561,3549,722,1116,1633,2703
439,TARRANT,439,2310,4392310,8133,3680,1747,1933,156,1100,636,1674,2781,1469,1312,115,738,398,1116
21,BASTROP,21,4022,214022,167,4374,1900,2474,26,291,2057,2336,3198,1618,1580,19,224,1250,1470
29,BEXAR,29,4020,294020,831,3339,678,2661,146,244,2292,2491,2596,615,1981,123,179,1667,1825
29,BEXAR,29,2086,292086,499,5054,1503,3551,368,339,2825,3112,3892,1251,2641,299,245,2055,2275
39,BRAZORIA,39,0050,390050,1163,5530,1072,4458,1014,2572,910,3375,4112,893,3219,733,1888,596,2433
61,CAMERON,61,0083,610083,1495,3884,587,3297,31,28,3215,3226,2750,530,2220,25,20,2145,2156
85,COLLIN,85,0198,850198,1827,186,117,69,1,4,59,61,140,98,42,1,2,35,37
353,NOLAN,353,0008,3530008,7114,195,171,24,0,2,17,18,169,154,15,0,1,10,11
377,PRESIDIO,377,0004,3770004,7446,1492,34,1458,44,7,1407,1414,1107,28,1079,28,5,1046,1051
423,SMITH,423,0057,4230057,7778,621,550,71,26,26,14,38,561,501,60,22,21,12,31
201,HARRIS,201,0904,2010904,5122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,HAYS,209,0218,2090218,5454,65,10,55,4,14,35,49,38,4,34,1,8,24,32
215,HIDALGO,215,0234,2150234,5786,3256,75,3181,4,21,3160,3166,2390,51,2339,3,15,2324,2327
245,JEFFERSON,245,0090,2450090,6118,73,14,59,8,37,15,50,60,14,46,7,29,11,38
291,LIBERTY,291,0018,2910018,6450,2125,580,1545,20,1036,440,1466,1580,413,1167,19,831,276,1106
323,MAVERICK,323,003B,323003B,6782,8068,204,7864,21,28,7806,7809,5595,148,5447,16,18,5409,5412
29,BEXAR,29,4206,294206,1017,1077,296,781,47,159,598,731,757,225,532,34,100,405,489
29,BEXAR,29,1103,291103,353,1909,586,1323,85,127,1084,1196,1352,453,899,60,84,724,801
85,COLLIN,85,0052,850052,1681,8073,2126,5947,3351,1060,1456,2492,5664,1637,4027,2314,719,921,1631
85,COLLIN,85,0058,850058,1687,5532,2668,2864,1254,995,527,1488,4484,2314,2170,989,715,368,1067
113,DALLAS,113,2300,1132300,2351,2632,650,1982,85,130,1764,1861,1979,566,1413,72,91,1234,1311
121,DENTON,121,2091,1212091,3015,5538,3889,1649,810,312,435,731,4736,3416,1320,662,240,328,560
491,WILLIAMSON,491,0399,4910399,9507,1688,193,1495,1308,52,101,145,1021,137,884,784,29,53,80
259,KENDALL,259,2060,2592060,6264,2939,2130,809,63,36,642,668,1945,1455,490,38,21,381,396
339,MONTGOMERY,339,0033,3390033,6928,4482,3199,1283,386,160,608,759,3955,2922,1033,321,126,484,608
387,RED RIVER,387,19-4,38719-4,7515,420,354,66,2,42,10,51,346,290,56,2,42,6,47
401,RUSK,401,0111,4010111,7592,3320,1889,1431,13,888,481,1364,2999,1714,1285,12,834,406,1235
439,TARRANT,439,2474,4392474,8179,1240,705,535,20,115,376,482,925,583,342,13,73,227,298
453,TRAVIS,453,0275,4530275,8843,3018,2071,947,268,157,460,592,2438,1736,702,190,112,331,432
151,FISHER,151,0010B,1510010B,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,FORT BEND,157,2114,1572114,3679,6942,272,6670,89,4426,2287,6576,5098,249,4849,61,3282,1578,4779
201,HARRIS,201,0712,2010712,4930,10110,1734,8376,568,2717,5222,7710,7052,1385,5667,432,1779,3499,5162
201,HARRIS,201,0049,2010049,4266,6772,2029,4743,168,1011,3532,4473,4673,1585,3088,98,643,2285,2901
215,HIDALGO,215,0048,2150048,5600,6645,143,6502,77,24,6405,6408,4972,102,4870,54,10,4807,4808
215,HIDALGO,215,0042,2150042,5594,5498,291,5207,46,44,5135,5162,3884,270,3614,38,33,3548,3572
29,BEXAR,29,4189,294189,1000,1766,322,1444,63,527,897,1368,1205,267,938,41,334,580,892
29,BEXAR,29,1080,291080,330,7340,1427,5913,441,1286,4269,5388,5530,1232,4298,337,913,3025,3878
29,BEXAR,29,2041,292041,453,4356,245,4111,43,195,3892,4041,3354,216,3138,28,146,2967,3088
29,BEXAR,29,4183,294183,994,80,39,41,1,1,41,41,71,35,36,0,1,36,36
85,COLLIN,85,0035,850035,1664,2577,1639,938,36,63,755,815,1920,1306,614,27,43,472,515
113,DALLAS,113,2144,1132144,2328,1910,1436,474,124,70,242,298,1647,1262,385,92,51,206,246
453,TRAVIS,453,0246,4530246,8820,5843,2734,3109,712,702,1653,2276,4846,2451,2395,567,542,1233,1731
471,WALKER,471,0103,4710103,9158,2443,1530,913,20,377,467,827,1916,1253,663,19,278,319,587
329,MIDLAND,329,0208,3290208,6828,1808,676,1132,38,208,855,1047,1358,550,808,29,144,597,736
339,MONTGOMERY,339,0053,3390053,6951,7747,4361,3386,165,516,2548,3012,5727,3485,2242,123,357,1629,1961
383,REAGAN,383,0003B,3830003B,7492,124,81,43,3,0,40,40,101,65,36,1,0,34,34
403,SABINE,403,0001,4030001,7615,2487,2074,413,48,176,120,288,2056,1759,297,38,115,77,188
439,TARRANT,439,2402,4392402,8156,93,40,53,13,31,13,39,88,39,49,13,28,12,35
439,TARRANT,439,3192,4393192,8279,1338,950,388,66,123,165,274,1110,809,301,50,95,129,215
121,DENTON,121,2068,1212068,2992,6944,3597,3347,241,1551,1445,2925,4732,2662,2070,136,945,900,1803
201,HARRIS,201,0072,2010072,4289,4588,350,4238,45,226,3999,4187,3505,319,3186,32,182,2984,3148
201,HARRIS,201,0735,2010735,4953,6374,2928,3446,454,755,2173,2878,4486,2235,2251,316,479,1395,1847
215,HIDALGO,215,0065,2150065,5617,4563,275,4288,369,60,3877,3908,3234,216,3018,286,39,2703,2728
261,KENEDY,261,0006,2610006,6281,26,2,24,2,1,21,21,16,2,14,2,0,11,11
263,KENT,263,0401,2630401,6287,177,142,35,3,4,27,29,149,121,28,2,4,21,23
29,BEXAR,29,1057,291057,307,5964,1041,4923,61,129,4721,4820,4155,873,3282,37,101,3123,3207
113,DALLAS,113,2020,1132020,2228,3300,2373,927,212,236,442,664,2803,2056,747,157,207,353,550
113,DALLAS,113,4660,1134660,2892,99,29,70,5,7,57,63,70,24,46,5,6,35,41
121,DENTON,121,3137,1213137,3061,4819,2101,2718,406,495,1748,2204,3662,1761,1901,309,376,1147,1503
143,ERATH,143,0046,1430046,3556,1637,1056,581,32,52,450,490,1261,872,389,21,33,291,322
157,FORT BEND,157,3107,1573107,3725,2328,1162,1166,880,93,168,255,2008,1033,975,742,76,132,205
439,TARRANT,439,3322,4393322,8302,2561,1948,613,128,101,327,421,2117,1676,441,109,73,214,281
453,TRAVIS,453,0433,4530433,8966,904,463,441,46,54,314,359,803,435,368,35,45,262,302
469,VICTORIA,469,0015,4690015,9135,173,93,80,2,7,66,71,140,82,58,0,4,50,53
493,WILSON,493,0206,4930206,9553,3897,1642,2255,50,86,2086,2153,2958,1372,1586,29,67,1457,1511
201,HARRIS,201,0835,2010835,5053,845,33,812,2,21,796,809,570,31,539,2,14,526,536
201,HARRIS,201,0172,2010172,4389,1543,121,1422,18,52,1344,1385,1160,110,1050,14,27,996,1022
201,HARRIS,201,0004,2010004,4220,2509,1752,757,152,110,448,546,2009,1416,593,110,94,347,429
339,MONTGOMERY,339,0075,3390075,6974,6728,4219,2509,514,696,1148,1801,5681,3780,1901,380,521,876,1374
407,SAN JACINTO,407,0005,4070005,7638,4167,2314,1853,23,105,1581,1674,2995,1821,1174,18,83,969,1041
439,TARRANT,439,4178,4394178,8471,5816,3222,2594,222,955,1318,2237,4733,2828,1905,186,684,963,1624
113,DALLAS,113,2408,1132408,2374,5635,983,4652,408,408,3819,4186,4202,896,3306,357,331,2598,2904
117,DEAF SMITH,117,0003,1170003,2915,4853,1875,2978,22,81,2843,2893,3549,1585,1964,17,54,1855,1891
121,DENTON,121,2114,1212114,3038,2744,1129,1615,1058,209,311,512,2198,943,1255,831,172,220,385
147,FANNIN,147,0011,1470011,3579,3739,2916,823,28,141,437,569,2804,2267,537,22,82,265,347
157,FORT BEND,157,3044,1573044,3702,6863,1140,5723,4801,565,354,894,4694,867,3827,3221,365,227,571
201,HARRIS,201,0027,2010027,4243,5791,1033,4758,145,341,4248,4531,4736,945,3791,109,273,3367,3607
453,TRAVIS,453,0464,4530464,8989,5669,1844,3825,305,414,3092,3451,4442,1646,2796,241,305,2201,2476
467,VAN ZANDT,467,003A,467003A,9112,1406,1045,361,17,158,153,308,1117,873,244,10,105,100,203
491,WILLIAMSON,491,0434,4910434,9530,1696,1144,552,6,72,435,498,1355,951,404,1,56,323,372
201,HARRIS,201,0689,2010689,4907,4463,671,3792,1116,329,2377,2671,3635,594,3041,962,264,1833,2070
201,HARRIS,201,0149,2010149,4366,5832,2486,3346,1277,827,1155,1959,3888,1756,2132,809,530,731,1255
423,SMITH,423,0071,4230071,7784,5343,4057,1286,405,432,333,757,4097,3176,921,290,313,237,545
439,TARRANT,439,4110,4394110,8448,2063,200,1863,15,23,1837,1850,1525,166,1359,8,17,1337,1348
439,TARRANT,439,3385,4393385,8325,3587,2807,780,285,79,303,373,2769,2208,561,209,66,194,254
453,TRAVIS,453,0320,4530320,8866,5122,3813,1309,560,70,562,628,3764,2878,886,373,56,391,443
25,BEE,25,0013,250013,184,2097,719,1378,9,25,1334,1351,1586,577,1009,7,11,984,991
29,BEXAR,29,1017,291017,267,498,105,393,9,29,361,377,421,98,323,8,23,295,310
29,BEXAR,29,2103,292103,516,563,6,557,1,7,549,555,395,2,393,0,5,387,392
113,DALLAS,113,3000,1133000,2437,5488,3969,1519,491,308,611,895,5260,3858,1402,463,256,561,801
113,DALLAS,113,4116,1134116,2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,DIMMIT,127,0005,1270005,3184,881,41,840,1,4,833,837,676,35,641,0,2,636,638
451,TOM GREEN,451,0112,4510112,8674,1469,991,478,15,10,435,442,1095,748,347,10,5,318,320
341,MOORE,341,0202,3410202,7014,2701,1292,1409,87,43,1209,1242,1878,1033,845,53,22,701,720
